country,year,co2,population,primary_energy_consumption,iso_code,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_energy,per_capita_electricity,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,Code,Urban population,Rural population,Urban population (% of total population)
China,1965,500.286,723415737,1536.194,CHN,896126812160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1838.38,1330.705,NA,NA,3.103,52.314,2401.048,1737.99,NA,86.623,NA,NA,NA,NA,NA,NA,2122.266,1.714,NA,NA,NA,NA,2031.997,1470.854,NA,95.747,NA,NA,11.087,NA,NA,15.316,8.28,0.783,14.142,10.237,NA,0.722,NA,NA,NA,65.341,30.545,22.097,90.269,NA,4.253,NA,NA,65.341,NA,NA,90.269,NA,4.253,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,129.063,NA,NA,178.301,33.059,32.68,181.717,131.535,NA,8.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.341,NA,NA,90.269,NA,4.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,129348359,585836641,18.086
China,1966,549.459,742402209,1669.308,CHN,927339380736,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.974,92.807,1916.031,1423.512,NA,NA,9.365,162.755,2558.38,1900.744,NA,85.276,NA,NA,NA,NA,8.665,133.114,2246.869,1.8,8.972,131.964,NA,NA,2157.373,1602.817,NA,96.017,21.818,2.419,13.505,NA,NA,18.178,7.647,0.783,14.832,11.02,NA,0.809,NA,1.76,1.15,66.491,30.288,22.486,89.496,NA,3.983,1.76,1.15,66.491,NA,NA,89.496,NA,3.983,NA,NA,NA,0,0,0,0,0,NA,0,28.465,36.737,165.8,NA,NA,223.165,28.647,37.681,227.763,169.217,NA,9.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,1.15,66.491,NA,NA,89.496,NA,3.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,131746910,603653090,17.915
China,1967,460.226,761026025,1501.068,CHN,933378392064,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.111,-158.168,1662.725,1265.344,NA,NA,-30.581,-581.267,1733.858,1319.477,NA,84.296,NA,NA,NA,NA,-10.078,-168.24,1972.478,1.608,-9.924,-159.066,NA,NA,1897.161,1443.752,NA,96.182,8.955,1.209,14.715,NA,NA,19.336,7.104,0.783,15.509,11.802,NA,0.98,NA,-13.797,-9.174,57.317,25.47,19.383,75.317,NA,3.818,-13.797,-9.174,57.317,NA,NA,75.317,NA,3.818,NA,NA,NA,0,0,0,0,0,NA,0,-1.271,-2.107,163.693,NA,NA,215.101,-4.605,-7.792,212.12,161.424,NA,10.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.797,-9.174,57.317,NA,NA,75.317,NA,3.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,134196718,620353282,17.785
China,1968,495.507,781011031,1516.696,CHN,912372793344,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.744,-9.42,1609.391,1255.924,NA,NA,32.159,424.325,2234.578,1743.802,NA,82.807,NA,NA,NA,NA,1.041,15.627,1943.555,1.662,0.368,5.317,NA,NA,1856.894,1449.068,NA,95.541,-4.11,-0.605,14.11,NA,NA,18.081,6.633,0.783,16.127,12.585,NA,0.93,NA,17.989,10.311,67.628,29.283,22.87,86.661,NA,4.459,17.989,10.311,67.628,NA,NA,86.661,NA,4.459,NA,NA,NA,0,0,0,0,0,NA,0,9.372,15.342,179.035,NA,NA,229.422,15.202,24.539,238.301,185.964,NA,11.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.989,10.311,67.628,NA,NA,86.661,NA,4.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,136747486,637762514,17.656
China,1969,607.683,802140343,1845.186,CHN,1006175649792,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.757,260.687,1892.378,1516.61,NA,NA,8.333,145.317,2357.182,1889.119,NA,82.193,NA,NA,NA,NA,21.658,328.49,2302.365,1.834,22.59,327.34,NA,NA,2216.546,1776.409,NA,96.273,40,5.644,19.754,NA,NA,24.649,22.01,2.77,19.16,15.355,NA,1.071,NA,1.7,1.15,68.778,28.997,23.259,85.818,NA,3.727,1.7,1.15,68.778,NA,NA,85.818,NA,3.727,NA,NA,NA,0,0,0,0,0,NA,0,34.077,61.01,240.044,NA,NA,299.52,35.96,66.872,315.481,252.836,NA,13.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.15,68.778,NA,NA,85.818,NA,3.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,139527262,656497738,17.528
China,1970,807.953,823308968,2361.698,CHN,1144004411392,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.234,413.04,2345.98,1929.65,NA,NA,10.769,203.444,2544.043,2092.563,NA,81.706,NA,NA,NA,NA,27.992,516.512,2871.246,2.064,28.947,514.212,NA,NA,2784.833,2290.621,NA,96.99,46.429,9.172,28.926,NA,NA,35.167,88.378,13.571,35.167,28.926,NA,1.225,NA,3.344,2.3,71.077,29.196,24.037,86.413,NA,3.01,3.344,2.3,71.077,NA,NA,86.413,NA,3.01,NA,NA,NA,0,0,0,0,0,NA,0,38.327,92.001,332.046,NA,NA,403.686,40.984,103.623,433.367,356.46,NA,14.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.344,2.3,71.077,NA,NA,86.413,NA,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,142386810,675928190,17.4
China,1971,909.21,844069870,2800.124,CHN,1216237928448,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,295.228,2638.344,2224.877,NA,NA,8.333,174.38,2688.227,2266.943,NA,79.456,NA,NA,NA,NA,18.564,438.426,3320.494,2.302,18.49,423.528,NA,NA,3218.541,2714.149,NA,96.93,30.314,8.768,37.694,NA,NA,44.699,30.314,8.768,44.699,37.694,NA,1.346,NA,20.96,14.898,85.975,34.446,29.075,101.953,NA,3.07,20.96,14.898,85.975,34.446,29.075,101.953,NA,3.07,NA,NA,NA,0,0,0,0,0,NA,0,35.999,119.532,451.578,NA,NA,535.498,28.581,101.879,543.515,458.338,NA,16.127,0,0,NA,NA,0,0,NA,0,NA,20.96,14.898,85.975,34.446,29.075,101.953,NA,3.07,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,CHN,145443877,695661123,17.292
China,1972,968.646,863677811,3018.837,CHN,1233564991488,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.755,128.046,2726.951,2352.924,NA,NA,2.564,58.127,2694.669,2325.07,NA,77.941,NA,NA,NA,NA,7.811,218.712,3498.72,2.447,7.636,207.252,NA,NA,3385.795,2921.401,NA,96.772,29.412,11.087,48.781,NA,NA,56.535,29.412,11.087,56.535,48.781,NA,1.616,NA,13.33,11.461,97.436,38.152,32.951,112.925,NA,3.228,13.33,11.461,97.436,38.152,32.951,112.925,NA,3.228,NA,NA,NA,0,0,0,0,0,NA,0,15.085,68.119,519.697,NA,NA,602.309,15.884,72.804,615.574,531.142,NA,17.215,0,0,NA,0,0,0,NA,0,NA,13.33,11.461,97.436,38.152,32.951,112.925,NA,3.228,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,CHN,148131235,713898765,17.184
China,1973,1008.293,882576941,3186.893,CHN,1334375219200,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,30.819,2703.723,2383.743,NA,NA,7.5,174.38,2834.961,2499.45,NA,74.798,NA,NA,NA,NA,5.567,168.056,3614.683,2.388,5.36,156.596,NA,NA,3491.169,3077.996,NA,96.583,23.554,11.49,60.27,NA,NA,68.361,23.554,11.49,68.361,60.27,NA,1.891,NA,11.762,11.461,108.897,41.727,36.827,123.514,NA,3.417,11.762,11.461,108.897,41.727,36.827,123.514,NA,3.417,NA,NA,NA,0,0,0,0,0,NA,0,21.991,114.287,633.983,NA,NA,719.085,17.386,92.342,707.177,623.484,NA,19.893,0,0,NA,0,0,0,NA,0,NA,11.762,11.461,108.897,41.727,36.827,123.514,NA,3.417,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,CHN,151552570,730387430,17.184
China,1974,1028.1,900307583,3286.762,CHN,1367631724544,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.056,-25.179,2622.469,2358.564,NA,NA,4.651,116.254,2908.38,2615.703,NA,71.76,NA,NA,NA,NA,3.134,99.869,3654.525,2.403,2.779,85.533,NA,NA,3517.504,3163.529,NA,96.251,25.92,15.622,75.892,NA,NA,84.384,25.92,15.622,84.384,75.892,NA,2.309,NA,13.165,14.336,123.232,46.29,41.675,137.021,NA,3.749,13.165,14.336,123.232,46.29,41.675,137.021,NA,3.749,NA,NA,NA,0,0,0,0,0,NA,0,14.999,95.09,729.073,NA,NA,810.651,20.966,130.721,838.595,754.206,NA,22.182,0,0,NA,0,0,0,NA,0,NA,13.165,14.336,123.232,46.29,41.675,137.021,NA,3.749,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,CHN,155688522,744661478,17.292
